metrica,n_threads,n_obs,media,dp,sem,ic95_lo,ic95_hi,speedup,eficiencia
paralelismo_tempo_s,1,30,0.094163,0.015099,0.002757,0.088525,0.099801,1.000000,1.000000
paralelismo_tempo_s,2,30,0.200807,0.013466,0.002458,0.195779,0.205835,0.937847,0.468924
paralelismo_tempo_s,4,30,0.309535,0.026693,0.004874,0.299567,0.319502,1.216835,0.304209
paralelismo_tempo_s,6,30,0.409544,0.030742,0.005613,0.398064,0.421023,1.379533,0.229922
paralelismo_tempo_s,8,30,0.519268,0.023532,0.004296,0.510480,0.528055,1.450707,0.181338
paralelismo_tempo_s,10,30,0.637619,0.026563,0.004850,0.627700,0.647538,1.476794,0.147679
paralelismo_tempo_s,12,30,0.703146,0.026706,0.004876,0.693174,0.713118,1.607004,0.133917
paralelismo_tempo_s,14,30,0.744640,0.043284,0.007903,0.728478,0.760803,1.770364,0.126455
paralelismo_tempo_s,16,30,0.805022,0.030334,0.005538,0.793696,0.816349,1.871514,0.116970
sysbench_events_per_sec,1,30,1529.964000,1.820768,0.332425,1529.284114,1530.643886,1.000000,1.000000
sysbench_events_per_sec,2,30,3047.652000,7.045228,1.286277,3045.021268,3050.282732,1.991976,0.995988
sysbench_events_per_sec,4,30,5913.054000,5.995056,1.094542,5910.815409,5915.292591,3.864832,0.966208
sysbench_events_per_sec,6,30,8866.144333,5.943666,1.085160,8863.924932,8868.363735,5.795002,0.965834
sysbench_events_per_sec,8,30,11400.954667,31.224703,5.700825,11389.295171,11412.614162,7.451780,0.931472
sysbench_events_per_sec,10,30,13866.789667,27.148553,4.956625,13856.652230,13876.927103,9.063474,0.906347
sysbench_events_per_sec,12,30,13831.147333,83.512995,15.247317,13799.963069,13862.331598,9.040178,0.753348
sysbench_events_per_sec,14,30,13824.429333,85.814413,15.667497,13792.385705,13856.472962,9.035787,0.645413
sysbench_events_per_sec,16,30,13870.015333,66.456844,12.133304,13845.199940,13894.830727,9.065583,0.566599
