n_threads,repeticao,tempo_s
1,1,0.083979
1,2,0.079507
1,3,0.093476
1,4,0.089730
1,5,0.088050
1,6,0.140428
1,7,0.120616
1,8,0.082436
1,9,0.087075
1,10,0.088840
1,11,0.096089
1,12,0.080270
1,13,0.086690
1,14,0.093175
1,15,0.092007
1,16,0.108226
1,17,0.117352
1,18,0.080569
1,19,0.087498
1,20,0.081967
1,21,0.087302
1,22,0.087175
1,23,0.085133
1,24,0.091468
1,25,0.104938
1,26,0.120993
1,27,0.090619
1,28,0.084810
1,29,0.078960
1,30,0.115517
2,1,0.185949
2,2,0.205888
2,3,0.220703
2,4,0.201423
2,5,0.205636
2,6,0.203410
2,7,0.226776
2,8,0.217296
2,9,0.227467
2,10,0.196112
2,11,0.209059
2,12,0.204924
2,13,0.189335
2,14,0.206394
2,15,0.200355
2,16,0.190105
2,17,0.195721
2,18,0.197769
2,19,0.204145
2,20,0.185641
2,21,0.200798
2,22,0.198748
2,23,0.188421
2,24,0.207199
2,25,0.220437
2,26,0.169637
2,27,0.198182
2,28,0.181587
2,29,0.182564
2,30,0.202531
4,1,0.375470
4,2,0.337804
4,3,0.337020
4,4,0.316519
4,5,0.294009
4,6,0.306734
4,7,0.346718
4,8,0.328150
4,9,0.335932
4,10,0.291323
4,11,0.323561
4,12,0.340392
4,13,0.297122
4,14,0.335276
4,15,0.327508
4,16,0.319857
4,17,0.298659
4,18,0.289570
4,19,0.319353
4,20,0.256620
4,21,0.289595
4,22,0.291645
4,23,0.309878
4,24,0.283491
4,25,0.313277
4,26,0.258570
4,27,0.299536
4,28,0.292593
4,29,0.272833
4,30,0.297026
6,1,0.437697
6,2,0.414497
6,3,0.368260
6,4,0.409809
6,5,0.425817
6,6,0.434148
6,7,0.378239
6,8,0.362179
6,9,0.390397
6,10,0.418368
6,11,0.452728
6,12,0.418302
6,13,0.423497
6,14,0.409259
6,15,0.423464
6,16,0.459923
6,17,0.430370
6,18,0.361781
6,19,0.387721
6,20,0.408558
6,21,0.406466
6,22,0.392845
6,23,0.354439
6,24,0.454523
6,25,0.483287
6,26,0.404877
6,27,0.402572
6,28,0.405926
6,29,0.386883
6,30,0.379478
8,1,0.511797
8,2,0.519136
8,3,0.507361
8,4,0.494890
8,5,0.528129
8,6,0.519164
8,7,0.538554
8,8,0.523982
8,9,0.524231
8,10,0.492532
8,11,0.533252
8,12,0.549643
8,13,0.559513
8,14,0.497086
8,15,0.498863
8,16,0.502256
8,17,0.515805
8,18,0.555458
8,19,0.491698
8,20,0.550818
8,21,0.501467
8,22,0.510636
8,23,0.527724
8,24,0.487315
8,25,0.554369
8,26,0.547810
8,27,0.493034
8,28,0.540049
8,29,0.529922
8,30,0.471535
10,1,0.605081
10,2,0.659249
10,3,0.672654
10,4,0.611306
10,5,0.671557
10,6,0.597179
10,7,0.640862
10,8,0.634571
10,9,0.590504
10,10,0.670599
10,11,0.640999
10,12,0.628535
10,13,0.639871
10,14,0.618581
10,15,0.644710
10,16,0.668324
10,17,0.660818
10,18,0.667820
10,19,0.663053
10,20,0.587963
10,21,0.627919
10,22,0.621499
10,23,0.666390
10,24,0.654818
10,25,0.620178
10,26,0.631595
10,27,0.654470
10,28,0.633930
10,29,0.655419
10,30,0.588109
12,1,0.727498
12,2,0.704957
12,3,0.720734
12,4,0.668803
12,5,0.722517
12,6,0.694218
12,7,0.724955
12,8,0.720120
12,9,0.707255
12,10,0.678970
12,11,0.720305
12,12,0.685227
12,13,0.656996
12,14,0.700137
12,15,0.698978
12,16,0.706349
12,17,0.731816
12,18,0.670740
12,19,0.663650
12,20,0.712489
12,21,0.688177
12,22,0.699081
12,23,0.733513
12,24,0.770833
12,25,0.706651
12,26,0.731767
12,27,0.707647
12,28,0.695112
12,29,0.641377
12,30,0.703504
14,1,0.743594
14,2,0.818946
14,3,0.741470
14,4,0.682453
14,5,0.752533
14,6,0.697747
14,7,0.711469
14,8,0.716328
14,9,0.738760
14,10,0.749716
14,11,0.784117
14,12,0.731907
14,13,0.764793
14,14,0.689861
14,15,0.712515
14,16,0.713584
14,17,0.722080
14,18,0.761884
14,19,0.733167
14,20,0.664492
14,21,0.729047
14,22,0.721288
14,23,0.779129
14,24,0.725149
14,25,0.834860
14,26,0.748643
14,27,0.765746
14,28,0.856650
14,29,0.796394
14,30,0.750890
16,1,0.832987
16,2,0.778048
16,3,0.773470
16,4,0.761362
16,5,0.831995
16,6,0.804925
16,7,0.808463
16,8,0.776207
16,9,0.839747
16,10,0.769859
16,11,0.837696
16,12,0.789908
16,13,0.857301
16,14,0.823310
16,15,0.790438
16,16,0.779075
16,17,0.814594
16,18,0.869013
16,19,0.787076
16,20,0.797725
16,21,0.835093
16,22,0.808158
16,23,0.810285
16,24,0.761574
16,25,0.844061
16,26,0.754591
16,27,0.828128
16,28,0.775803
16,29,0.813973
16,30,0.795809
