n_threads,repeticao,events_per_sec
1,1,1526.690
1,2,1531.320
1,3,1527.670
1,4,1529.430
1,5,1532.560
1,6,1527.670
1,7,1527.260
1,8,1531.960
1,9,1531.740
1,10,1529.440
1,11,1532.370
1,12,1531.500
1,13,1530.120
1,14,1530.680
1,15,1528.850
1,16,1531.250
1,17,1532.640
1,18,1528.060
1,19,1531.330
1,20,1528.550
1,21,1528.780
1,22,1528.990
1,23,1529.550
1,24,1528.870
1,25,1533.010
1,26,1530.690
1,27,1531.120
1,28,1529.960
1,29,1530.090
1,30,1526.770
2,1,3044.580
2,2,3042.880
2,3,3042.960
2,4,3044.240
2,5,3035.800
2,6,3036.100
2,7,3035.040
2,8,3043.350
2,9,3055.750
2,10,3052.030
2,11,3053.100
2,12,3050.470
2,13,3051.210
2,14,3053.660
2,15,3050.610
2,16,3050.050
2,17,3053.210
2,18,3054.270
2,19,3055.230
2,20,3055.570
2,21,3052.050
2,22,3055.100
2,23,3057.220
2,24,3055.470
2,25,3048.840
2,26,3037.520
2,27,3044.390
2,28,3037.710
2,29,3040.110
2,30,3041.040
4,1,5909.320
4,2,5912.090
4,3,5911.640
4,4,5906.080
4,5,5912.640
4,6,5908.130
4,7,5912.700
4,8,5908.950
4,9,5910.220
4,10,5906.900
4,11,5908.640
4,12,5913.460
4,13,5921.250
4,14,5913.010
4,15,5924.850
4,16,5910.490
4,17,5920.620
4,18,5920.300
4,19,5922.000
4,20,5905.210
4,21,5917.100
4,22,5923.810
4,23,5906.860
4,24,5907.630
4,25,5910.900
4,26,5910.140
4,27,5909.300
4,28,5914.730
4,29,5907.540
4,30,5925.110
6,1,8869.220
6,2,8857.700
6,3,8851.760
6,4,8862.920
6,5,8870.240
6,6,8862.980
6,7,8864.000
6,8,8866.120
6,9,8876.680
6,10,8873.850
6,11,8871.320
6,12,8862.030
6,13,8860.790
6,14,8869.760
6,15,8871.390
6,16,8871.880
6,17,8861.880
6,18,8869.700
6,19,8859.610
6,20,8866.770
6,21,8867.110
6,22,8860.630
6,23,8868.150
6,24,8855.790
6,25,8868.270
6,26,8869.340
6,27,8871.820
6,28,8860.620
6,29,8875.340
6,30,8866.660
8,1,11414.710
8,2,11353.800
8,3,11344.480
8,4,11423.890
8,5,11373.870
8,6,11291.500
8,7,11363.980
8,8,11372.570
8,9,11423.210
8,10,11377.480
8,11,11394.680
8,12,11391.160
8,13,11393.170
8,14,11412.880
8,15,11415.320
8,16,11409.620
8,17,11418.490
8,18,11416.220
8,19,11419.420
8,20,11419.100
8,21,11433.040
8,22,11420.320
8,23,11428.970
8,24,11414.160
8,25,11412.160
8,26,11414.150
8,27,11430.210
8,28,11425.390
8,29,11403.630
8,30,11417.060
10,1,13924.380
10,2,13897.180
10,3,13914.510
10,4,13898.130
10,5,13899.960
10,6,13896.260
10,7,13897.520
10,8,13861.840
10,9,13867.260
10,10,13866.580
10,11,13881.090
10,12,13876.530
10,13,13836.760
10,14,13836.460
10,15,13837.940
10,16,13858.210
10,17,13865.710
10,18,13863.210
10,19,13875.000
10,20,13881.090
10,21,13837.090
10,22,13805.140
10,23,13836.650
10,24,13859.620
10,25,13848.680
10,26,13858.470
10,27,13852.760
10,28,13832.720
10,29,13857.960
10,30,13878.980
12,1,13975.710
12,2,13693.690
12,3,13777.520
12,4,13730.440
12,5,13949.900
12,6,13793.580
12,7,13785.980
12,8,13773.960
12,9,13912.310
12,10,13780.920
12,11,13932.290
12,12,13908.140
12,13,13791.350
12,14,13945.920
12,15,13886.120
12,16,13685.790
12,17,13914.800
12,18,13860.250
12,19,13861.430
12,20,13812.200
12,21,13791.660
12,22,13849.010
12,23,13687.500
12,24,13851.820
12,25,13856.200
12,26,13788.970
12,27,13829.780
12,28,13696.450
12,29,13885.130
12,30,13925.600
14,1,13816.820
14,2,13823.000
14,3,14000.750
14,4,13822.920
14,5,13975.710
14,6,13975.500
14,7,13747.890
14,8,13788.470
14,9,13998.260
14,10,13776.550
14,11,13799.000
14,12,13826.960
14,13,13834.010
14,14,13883.920
14,15,13790.830
14,16,13737.070
14,17,13784.300
14,18,13952.240
14,19,13893.510
14,20,13793.200
14,21,13757.350
14,22,13783.250
14,23,13708.670
14,24,13740.980
14,25,13793.000
14,26,13925.720
14,27,13740.240
14,28,13736.060
14,29,13755.110
14,30,13771.590
16,1,13890.480
16,2,13859.200
16,3,13845.960
16,4,13894.640
16,5,13813.210
16,6,13831.390
16,7,13894.780
16,8,13853.330
16,9,13840.690
16,10,13838.210
16,11,13883.840
16,12,13881.680
16,13,13859.020
16,14,13834.320
16,15,13830.600
16,16,13829.690
16,17,13884.200
16,18,13798.960
16,19,13866.070
16,20,13837.550
16,21,13826.690
16,22,13859.630
16,23,13847.870
16,24,13846.620
16,25,13828.550
16,26,13872.260
16,27,13809.920
16,28,14006.290
16,29,14029.990
16,30,14104.820
